_id,birthDate,birth year,birthPlace,birth city/country,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height_dup,height,highSchool,name,position,shoots,weight
abdelal01,Jun-24,1968,Cairo, Egypt,0.3,50.2,0,70.1,256,13,5.7,3.3,4.8,50.2,Duke University,25th overall,1st round,Portland Trail Blazers,1990,06-Oct-23,6.10,"Bloomfield in Bloomfield, New Jersey",Alaa Abdelnaby,Power Forward,Right,240
abdulza01,Apr-07,1946,Brooklyn, New York,1.2,42.8,,72.8,505,15.1,9,8,17.5,,Iowa State University,5th overall,1st round,Cincinnati Royals,1968,06-Sep-23,6.90,"John Jay in Brooklyn, New York",Zaid Abdul-Aziz,Power Forward and Center,Right,235
abdulka01,Apr-16,1947,New York, New York,3.6,55.9,5.6,72.1,1560,24.6,24.6,11.2,273.4,55.9,"University of California, Los Angeles",1st overall,1st round,Milwaukee Bucks,1969,07-Feb-23,7.20,"Power Memorial in New York, New York",Kareem Abdul-Jabbar,Center,Right,225
abdulma02,Mar-09,1969,Gulfport, Mississippi,3.5,44.2,35.4,90.5,586,15.4,14.6,1.9,25.2,47.2,Louisiana State University,3rd overall,1st round,Denver Nuggets,1990,06-Jan-23,6.10,"Gulfport in Gulfport, Mississippi",Mahmoud Abdul-Rauf,Point Guard,Right,162
abdulta01,Nov-03,1974,Maisons Alfort, France,1.1,41.7,23.7,70.3,236,11.4,7.8,3.3,3.5,42.2,"University of Michigan, San Jose State University",11th overall,1st round,Sacramento Kings,1997,06-Jun-23,6.60,"Lycee Aristide Briand in Evreux, France",Tariq Abdul-Wahad,Shooting Guard,Right,223
abdursh01,Dec-11,1976,Marietta, Georgia,2.5,47.2,29.7,81,830,19,18.1,7.5,71.2,47.9,University of California,3rd overall,1st round,Vancouver Grizzlies,1996,06-Sep-23,6.90,"Wheeler in Marietta, Georgia",Shareef Abdur-Rahim,Center and Small Forward and Power Forward,Right,225
abernto01,May-06,1954,South Bend, Indiana,1.2,49.2,0,74.7,319,12.9,5.6,3.2,13.4,49.2,Indiana University,43rd overall,3rd round,Los Angeles Lakers,1976,06-Jul-23,6.70,"Saint Joseph in South Bend, Indiana",Tom Abernethy,Small Forward and Power Forward,Right,220
ablefo01,Jul-27,1932,,,1,0,,-,1,-41.1,0,1,0,,Western Kentucky University,,1956 NBA Draf,Syracuse Nationals,,06-Mar-23,6.30,"Fairdale in Louisville, Kentucky",Forest Able,Guard,Right,180
abramjo01,Feb-09,1919,Etna, Pennsylvania,0.7,23.7,,68.6,56,-,9.5,-,-1.9,,Salem International University,,,,,06-Mar-23,6.30,"Etna in Etna, Pennsylvania",John Abramovic,Forward,Right,195
abrinal01,Aug-01,1993,Palma de Mallorca, Spain,0.5,38.7,36.8,88,174,8.8,5.3,1.4,5,52.5,,32nd overall,2nd round,Oklahoma City Thunder,2013,06-Jun-23,6.60,,Alex Abrines,Shooting Guard,Right,200
ackeral01,Jan-21,1983,Compton, California,0.5,37,32,50,30,8.5,2.7,1,-0.2,41.3,Pepperdine University,60th overall,2nd round,Detroit Pistons,2005,06-May-23,6.50,"Eisenhower in Rialto, California",Alex Acker,Shooting Guard,Right,185
